mode,development,scenario,tts_annual_chf,cost_annual_chf_negative,cost_annual_chf_magnitude,bcr
Rail,100001,scenario_53,24019164.200688392,-1733979.1735291178,1733979.1735291178,13.85204884081905
Rail,100001,scenario_54,28546286.384416528,-1733979.1735291178,1733979.1735291178,16.4628773056813
Rail,100001,scenario_55,18333627.504618723,-1733979.1735291178,1733979.1735291178,10.573153233037292
Rail,100001,scenario_56,21432027.191981506,-1733979.1735291178,1733979.1735291178,12.360025725315673
Rail,100001,scenario_57,15892305.701074269,-1733979.1735291178,1733979.1735291178,9.165222941362737
Rail,100001,scenario_58,16403127.124491291,-1733979.1735291178,1733979.1735291178,9.459817842625226
Rail,100001,scenario_59,14399669.172622524,-1733979.1735291178,1733979.1735291178,8.304407222674591
Rail,100001,scenario_6,17085998.246568006,-1733979.1735291178,1733979.1735291178,9.853635215118164
Rail,100001,scenario_60,16570428.884194678,-1733979.1735291178,1733979.1735291178,9.55630213854839
Rail,100001,scenario_61,15857093.511676256,-1733979.1735291178,1733979.1735291178,9.144915783159478
Rail,100001,scenario_62,17969659.546263598,-1733979.1735291178,1733979.1735291178,10.363249928596586
Rail,100001,scenario_63,24688547.36998567,-1733979.1735291178,1733979.1735291178,14.238087600405132
Rail,100001,scenario_64,22468965.554428723,-1733979.1735291178,1733979.1735291178,12.958036577047396
Rail,100001,scenario_65,15411885.403563095,-1733979.1735291178,1733979.1735291178,8.888160618559063
Rail,100001,scenario_66,15051440.388970478,-1733979.1735291178,1733979.1735291178,8.680289024658073
Rail,100001,scenario_67,21783252.07779235,-1733979.1735291178,1733979.1735291178,12.562579995385715
Rail,100001,scenario_68,12001299.348788314,-1733979.1735291178,1733979.1735291178,6.921247689706916
Rail,100001,scenario_69,11257391.44751479,-1733979.1735291178,1733979.1735291178,6.492229906431312
Rail,100001,scenario_7,23368768.649024338,-1733979.1735291178,1733979.1735291178,13.476960395932874
Rail,100001,scenario_70,13206397.876762051,-1733979.1735291178,1733979.1735291178,7.61623788703497
Rail,100001,scenario_71,18631074.834795885,-1733979.1735291178,1733979.1735291178,10.744693546045651
Rail,100001,scenario_72,10099989.941863418,-1733979.1735291178,1733979.1735291178,5.8247469727719965
Rail,100001,scenario_73,10085462.18299064,-1733979.1735291178,1733979.1735291178,5.816368695169499
Rail,100001,scenario_74,20162242.251601964,-1733979.1735291178,1733979.1735291178,11.627730343823181
Rail,100001,scenario_75,18102408.13929135,-1733979.1735291178,1733979.1735291178,10.43980713012143
Rail,100001,scenario_76,16317593.25817274,-1733979.1735291178,1733979.1735291178,9.410489760936409
Rail,100001,scenario_77,20623775.58157327,-1733979.1735291178,1733979.1735291178,11.893900397660657
Rail,100001,scenario_78,28227973.37186248,-1733979.1735291178,1733979.1735291178,16.2793035826439
Rail,100001,scenario_79,21118395.66137498,-1733979.1735291178,1733979.1735291178,12.179151851283956
Rail,100001,scenario_8,15321719.164917452,-1733979.1735291178,1733979.1735291178,8.83616100978514
Rail,100001,scenario_80,35135678.89470235,-1733979.1735291178,1733979.1735291178,20.263033968967296
Rail,100001,scenario_81,18834838.944223452,-1733979.1735291178,1733979.1735291178,10.86220597787772
Rail,100001,scenario_82,22922570.04798453,-1733979.1735291178,1733979.1735291178,13.21963400594419
Rail,100001,scenario_83,16581751.692168947,-1733979.1735291178,1733979.1735291178,9.562832094701914
Rail,100001,scenario_84,16890486.44790856,-1733979.1735291178,1733979.1735291178,9.740881958536932
Rail,100001,scenario_85,15985730.044481998,-1733979.1735291178,1733979.1735291178,9.219101525854375
Rail,100001,scenario_86,23067022.514848694,-1733979.1735291178,1733979.1735291178,13.302940927428239
Rail,100001,scenario_87,21056667.79026945,-1733979.1735291178,1733979.1735291178,12.143552882133768
Rail,100001,scenario_88,16064753.807765087,-1733979.1735291178,1733979.1735291178,9.264675177769844
Rail,100001,scenario_89,17242721.403947033,-1733979.1735291178,1733979.1735291178,9.944018744385158
Rail,100001,scenario_9,25158833.582427803,-1733979.1735291178,1733979.1735291178,14.509305513296768
Rail,100001,scenario_90,17525867.878332708,-1733979.1735291178,1733979.1735291178,10.107311636657558
Rail,100001,scenario_91,23677322.05505366,-1733979.1735291178,1733979.1735291178,13.654905673903734
Rail,100001,scenario_92,16992442.864797503,-1733979.1735291178,1733979.1735291178,9.799681059728805
Rail,100001,scenario_93,18334704.0272889,-1733979.1735291178,1733979.1735291178,10.5737740724837
Rail,100001,scenario_94,33457463.88646714,-1733979.1735291178,1733979.1735291178,19.29519362010106
Rail,100001,scenario_95,26338641.880893636,-1733979.1735291178,1733979.1735291178,15.189710628004462
Rail,100001,scenario_96,25645200.4661478,-1733979.1735291178,1733979.1735291178,14.789797281101631
Rail,100001,scenario_97,29322332.15447284,-1733979.1735291178,1733979.1735291178,16.91042926126612
Rail,100001,scenario_98,25095651.01619489,-1733979.1735291178,1733979.1735291178,14.472867609544835
Rail,100001,scenario_99,30044004.809308123,-1733979.1735291178,1733979.1735291178,17.3266237956944
Rail,100002,scenario_1,8274166.434966006,-3067252.32034274,3067252.32034274,2.6975825823293977
Rail,100002,scenario_10,8171453.993557485,-3067252.32034274,3067252.32034274,2.6640957900210807
Rail,100002,scenario_100,4998651.78546999,-3067252.32034274,3067252.32034274,1.629683920138475
Rail,100002,scenario_11,6275985.124362208,-3067252.32034274,3067252.32034274,2.0461261314363988
Rail,100002,scenario_12,10150844.819594905,-3067252.32034274,3067252.32034274,3.309426078928072
Rail,100002,scenario_13,6446050.8333463445,-3067252.32034274,3067252.32034274,2.1015717522143897
Rail,100002,scenario_14,7081906.812184187,-3067252.32034274,3067252.32034274,2.3088765033170935
Rail,100002,scenario_15,4926244.942286233,-3067252.32034274,3067252.32034274,1.6060775012261679
Rail,100002,scenario_16,7636329.310359844,-3067252.32034274,3067252.32034274,2.489631928783266
