development,scenario,origin_access_savings,destination_access_savings,access_savings,network_savings,total_tts,positive_tts,monetized_savings_yearly,monetized_savings
533,scenario_19,57.7452222625252,57.7452222625252,115.4904445250504,-493.8021676263306,-378.3117231016513,False,-123739.4594311651,-6186972.971558255
140,scenario_29,64.63924739154754,64.6392473915439,129.27849478309145,-572.9786599067738,-443.70016512356233,False,-145126.92900916518,-7256346.450458259
858,scenario_30,-215.753434860002,-215.75343486000563,-431.5068697200076,-35.813236352056265,-467.3201060721185,False,-152852.6180277554,-7642630.901387771
233,scenario_29,124.74203356809448,124.74203356809085,249.48406713618533,-733.9532140244264,-484.4691468882375,False,-158461.783461361,-7923089.173068049
863,scenario_29,-97.23011653386128,-97.23011653386492,-194.4602330677262,-294.7816650328459,-489.2418981004739,False,-160022.87083703,-8001143.5418515
12,scenario_29,75.48102258303697,75.48102258303334,150.9620451660703,-718.8069930580677,-567.8449478918919,False,-185732.61837297297,-9286630.918648647
284,scenario_30,196.08292535963483,196.08292535963847,392.1658507192733,-1014.9100743362214,-622.7442236170173,False,-203689.2564747327,-10184462.823736636
255,scenario_30,679.87756610016,679.87756610016,1359.75513220032,-2046.7629920298928,-687.007859829464,False,-224708.8208192205,-11235441.040961023
755,scenario_30,1045.6574428190615,1045.6574428190615,2091.314885638123,-2809.4049695277354,-718.0900838895468,False,-234875.29827220592,-11743764.913610296
533,scenario_30,57.74522244042237,57.745222440426005,115.49044488084837,-871.9361053227913,-756.445660441881,False,-247420.7681028653,-12371038.405143265
140,scenario_19,64.639247617808,64.639247617808,129.278495235616,-899.9659826718271,-770.6874874364585,False,-252079.03234900828,-12603951.617450414
680,scenario_29,104.0289183288478,104.02891832884416,208.05783665769195,-980.4174645082094,-772.3596278505865,False,-252625.96160946265,-12631298.080473132
987,scenario_30,0.0,0.0,0.0,-772.7292099812767,-772.7292099812767,False,-252746.84576470923,-12637342.28823546
736,scenario_30,0.0,0.0,0.0,-817.7444659491302,-817.7444659491302,False,-267470.585737528,-13373529.2868764
250,scenario_19,959.2838317907008,959.2838317907008,1918.5676635814016,-2820.2902688577306,-901.72260527662,False,-294938.4354758944,-14746921.773794722
594,scenario_30,-45.79855446730289,-45.79855446730289,-91.59710893460579,-873.2600805262337,-964.857189460774,False,-315588.7057194615,-15779435.285973074
602,scenario_29,-203.5208665532409,-203.5208665532482,-407.0417331064891,-592.370515096467,-999.4122482028324,False,-326891.0895163431,-16344554.475817155
736,scenario_19,0.0,0.0,0.0,-1024.5208998117596,-1024.5208998117596,False,-335103.7109800964,-16755185.54900482
284,scenario_29,196.08292500682,196.0829250068164,392.1658500136364,-1513.2929053355474,-1121.12705532182,False,-366701.9743448453,-18335098.717242263
648,scenario_30,-380.6092544855164,-380.6092544855164,-761.2185089710327,-365.63503060338553,-1126.8535395743093,False,-368575.0119024303,-18428750.595121518
987,scenario_19,0.0,0.0,0.0,-1146.1506972000934,-1146.1506972000934,False,-374886.79054253054,-18744339.52712653
308,scenario_29,318.48626558405886,318.4862655840552,636.9725311681141,-1817.431922008982,-1180.4593908409588,False,-386108.5924208969,-19305429.621044844
270,scenario_19,696.8776677786045,696.8776677785972,1393.7553355572018,-2579.5055242483504,-1185.7501886913087,False,-387839.1242177822,-19391956.210889112
810,scenario_30,-82.63989841729563,-82.63989841729563,-165.27979683459125,-1154.3614859990776,-1319.641282833647,False,-431632.6695935053,-21581633.479675267
284,scenario_19,196.0829247329348,196.0829247329348,392.1658494658696,-1774.0243666488675,-1381.858517182991,False,-451982.88999526994,-22599144.499763496
533,scenario_29,57.74522271259775,57.74522271259411,115.49044542519187,-1533.905325861764,-1418.414880436496,False,-463939.8671427705,-23196993.35713853
459,scenario_19,462.74842631103456,462.7484263110309,925.4968526220655,-2348.075030036969,-1422.578177415067,False,-465301.61219617823,-23265080.60980891
764,scenario_29,395.03617326617314,395.03617326617314,790.0723465323463,-2215.504197361181,-1425.4318508289289,False,-466235.0012086288,-23311750.06043144
197,scenario_29,180.62195775931832,180.62195775931468,361.243915518633,-1805.28850878519,-1444.0445932664445,False,-472322.9190475661,-23616145.952378307
866,scenario_29,235.72185492347853,235.72185492347128,471.4437098469498,-2042.839848817792,-1571.39613897074,False,-513977.4871216795,-25698874.356083974
648,scenario_29,-380.6092540817663,-380.6092540817736,-761.2185081635399,-874.1453976437915,-1635.3639058072586,False,-534900.2775244574,-26745013.87622287
459,scenario_30,462.7484269132328,462.7484269132328,925.4968538264656,-2571.9535826181527,-1646.4567287915852,False,-538528.5550422476,-26926427.75211238
565,scenario_29,-269.855040933664,-269.85504093367126,-539.7100818673352,-1109.30950831261,-1649.019590180018,False,-539366.8242880475,-26968341.21440237
670,scenario_29,942.4693806139258,942.4693806139258,1884.9387612278515,-3564.1069999679457,-1679.1682387401816,False,-549227.944754601,-27461397.23773005
755,scenario_19,1045.6574412679329,1045.6574412679329,2091.3148825358658,-3913.124134619953,-1821.8092520844657,False,-595883.442869294,-29794172.1434647
858,scenario_29,-215.7534351461618,-215.75343514616907,-431.50687029233086,-1466.8414533676114,-1898.3483236599716,False,-620918.0975304489,-31045904.876522448
197,scenario_30,180.6219583300226,180.62195833002625,361.24391666004885,-2343.230426442344,-1981.986509782262,False,-648274.7542412815,-32413737.71206408
459,scenario_29,462.7484257926808,462.7484257926735,925.4968515853543,-3054.8702303518075,-2129.373378766468,False,-696482.5426381988,-34824127.131909944
822,scenario_29,68.05322331992284,68.0532233199192,136.10644663984203,-2289.6346681390423,-2153.528221499175,False,-704383.189115355,-35219159.45576775
866,scenario_30,235.7218555514155,235.7218555514155,471.443711102831,-2670.317335846368,-2198.873624743428,False,-719214.9147598295,-35960745.737991475
556,scenario_29,156.46677236154937,156.46677236154574,312.9335447230951,-2535.2372644685674,-2222.3037197454832,False,-726878.5083334184,-36343925.41667092
594,scenario_29,-45.79855381531161,-45.79855381531888,-91.59710763063049,-2257.976759418845,-2349.573867049534,False,-768506.4523474517,-38425322.61737259
940,scenario_29,259.17246358537886,259.1724635853716,518.3449271707505,-2969.7101451825583,-2451.365218011779,False,-801800.706724686,-40090035.3362343
810,scenario_29,-82.63989826390753,-82.63989826390753,-165.27979652781505,-2399.1163452502806,-2564.396141777979,False,-838771.2380398806,-41938561.90199404
614,scenario_29,130.2469428462391,130.24694284623547,260.4938856924746,-2866.155306477216,-2605.6614207847742,False,-852268.4230483532,-42613421.15241766
255,scenario_19,679.8775658860977,679.8775658860941,1359.7551317721918,-4148.240874519339,-2788.485742747085,False,-912067.2116901923,-45603360.58450962
625,scenario_29,209.75314254337357,209.7531425433699,419.50628508674345,-3250.9705325624677,-2831.4642474757275,False,-926124.7642785192,-46306238.21392596
